Date,close,Open,High,Low,Vol.,Change %
10 06 2001,1087.75,1126.55,1134.80,1084.20,193.86M,-3.45%
03 06 2001,1126.60,1148.00,1154.45,1095.45,210.09M,-1.87%
27 05 2001,1148.05,1174.95,1207.00,1146.90,240.83M,-2.29%
20 05 2001,1174.90,1172.95,1190.15,1165.65,214.23M,0.18%
13 05 2001,1172.80,1140.45,1187.65,1096.25,242.30M,2.83%
06 05 2001,1140.50,1130.05,1164.30,1130.05,213.89M,0.92%
29 04 2001,1130.05,1101.45,1150.65,1101.45,163.71M,2.61%
22 04 2001,1101.30,1144.05,1170.20,1078.10,255.91M,-3.73%
15 04 2001,1144.00,1024.00,1159.30,1000.10,271.60M,11.62%
08 04 2001,1024.90,1137.60,1138.55,1001.80,149.85M,-10.06%
01 04 2001,1139.60,1148.10,1171.85,1094.35,133.22M,-0.75%
25 03 2001,1148.20,1159.85,1210.10,1144.65,154.38M,-1.13%
18 03 2001,1161.30,1192.85,1218.35,1139.65,157.96M,-2.70%
11 03 2001,1193.55,1253.25,1253.25,1098.75,264.24M,-4.88%
04 03 2001,1254.75,1304.85,1316.45,1219.35,346.25M,-3.95%
25 02 2001,1306.35,1320.90,1399.55,1281.90,604.58M,-1.07%
18 02 2001,1320.45,1381.40,1392.80,1314.10,489.06M,-4.41%
11 02 2001,1381.35,1405.70,1422.95,1376.15,495.85M,-1.73%
04 02 2001,1405.70,1378.80,1416.30,1365.05,558.03M,1.95%
28 01 2001,1378.85,1368.55,1396.05,1312.10,511.18M,0.64%
21 01 2001,1370.10,1329.30,1374.20,1329.30,420.93M,3.08%
14 01 2001,1329.10,1286.85,1333.50,1277.85,413.05M,3.29%
07 01 2001,1286.75,1327.35,1334.20,1275.95,433.37M,-3.05%
31 12 2000,1327.25,1263.50,1331.35,1248.55,437.16M,5.04%
24 12 2000,1263.55,1242.05,1265.90,1207.95,261.20M,1.74%
17 12 2000,1242.00,1310.15,1325.60,1237.30,387.60M,-5.38%
10 12 2000,1312.60,1313.70,1369.50,1308.15,451.70M,-0.08%
03 12 2000,1313.70,1276.25,1319.85,1273.65,397.66M,2.94%
26 11 2000,1276.20,1225.40,1281.00,1225.35,401.42M,4.16%
19 11 2000,1225.20,1236.00,1247.50,1209.85,293.81M,-0.87%
12 11 2000,1236.00,1239.35,1270.10,1199.95,319.08M,-0.29%
